granularity,memory_mb,file,requests,responses,success_2xx,http_error_or_failed,success_rate_pct,vusers_failed,vusers_completed,artillery_errors,test_duration_s,actual_rps,rt_min_ms,rt_mean_ms,rt_median_ms,rt_p90_ms,rt_p95_ms,rt_p99_ms,rt_max_ms,component_count,component_functions,lambda_invocations_model,billed_ms_per_workflow_model,sum_avg_lambda_duration_ms_model,gb_seconds_model,lambda_compute_cost_usd,lambda_request_cost_usd,api_gateway_cost_usd,total_marginal_cost_usd,cost_per_1000_requests_usd,avg_component_memory_used_mb,avg_component_cold_start_rate_pct,avg_init_duration_ms_observed,mean_latency_vs_g1_128_pct,cost_vs_g1_128_pct,latency_rank,cost_rank,normalized_latency,normalized_cost,cost_latency_score
G1,128,RunTestFromClient/g1-128-1000/g1-128-1000-r1-artillery.json,1180,1180,1180,0,100.0,0,1180,0,3779.969,0.3121718723090057,455,475.6,478.3,487.9,487.9,518.1,858,1,research-order-g1-128,1180,209.72734970364098,208.85088060965285,30.934784081287045,0.0004124658500694327,0.00023600000000000002,0.0011799999999999998,0.0018284658500694324,0.0015495473305673156,75.45554614733277,0.1693480101608806,121.905,0.0,0.0,9,1,1.3214781883856628,1.0,1.1607390941928313
G1,512,RunTestFromClient/g1-512-1000/g1-512-1000-r1-artillery.json,1180,1180,1180,0,100.0,0,1180,0,3780.027,0.31216708240443786,456,476.5,468.8,487.9,487.9,550.1,1107,1,research-order-g1-512,1180,208.74850809889173,208.11247229326514,123.16161977834612,0.0016421631411526001,0.00023600000000000002,0.0011799999999999998,0.0030581631411526,0.002591663678942881,77.47399829497016,0.0,,0.18923465096719455,67.25295367351116,10,3,1.323978883023062,1.6725295367351116,1.4982542098790868
G1,1024,RunTestFromClient/g1-1024-1000/g1-1024-1000-r1-artillery.json,1180,1180,1180,0,100.0,0,1180,0,3780.028,0.31216699982116536,469,485.7,478.3,497.8,497.8,550.1,830,1,research-order-g1-1024,1180,208.84648006785412,208.1957421543681,246.43884648006787,0.003285867715657337,0.00023600000000000002,0.0011799999999999998,0.0047018677156573365,0.003984633657336725,76.89312977099236,0.0,,2.1236333052985628,157.1482379875343,11,8,1.349541539316477,2.571482379875343,1.9605119595959097
G2,128,RunTestFromClient/g2-128-1000-r1-artillery.json,1180,1180,1180,0,100.0,0,1180,0,3779.876,0.31217955298004485,352,385.7,376.2,415.8,441.5,584.2,827,4,research-order-g2-inventory-128; research-order-g2-notification-128; research-order-g2-orchestrator-128; research-order-g2-payment-128,4720,205.862,203.4228,30.364645000000003,0.00040486395764300004,0.0009440000000000001,0.0011799999999999998,0.0025288639576429997,0.0021431050488499997,77.12925,0.093885,214.4475,-18.90243902439025,38.305233184801956,5,2,1.071686579605446,1.3830523318480195,1.2273694557267327
G2,512,RunTestFromClient/g2-512-1000-r1-artillery.json,1180,1180,1180,0,100.0,0,1180,0,3780.472,0.31213033716424826,349,371.5,368.8,383.8,383.8,415.8,2058,4,research-order-g2-inventory-512; research-order-g2-notification-512; research-order-g2-orchestrator-512; research-order-g2-payment-512,4720,191.00740000000002,188.31609999999998,112.694366,0.0015025990596244001,0.0009440000000000001,0.0011799999999999998,0.0036265990596244004,0.0030733890335800005,81.79665,0.13426,195.16,-21.888141295206058,98.3410879391971,3,5,1.0322311753264797,1.983410879391971,1.5078210273592254
G2,1024,RunTestFromClient/g2-1024-1000-r1-artillery.json,1180,1180,1180,0,100.0,0,1180,0,3780.242,0.31214932800598477,353,374.8,368.8,383.8,391.6,424.2,2050,4,research-order-g2-inventory-1024; research-order-g2-notification-1024; research-order-g2-orchestrator-1024; research-order-g2-payment-1024,4720,191.1567,188.77999999999997,225.56490599999995,0.0030075471176603994,0.0009440000000000001,0.0011799999999999998,0.005131547117660399,0.004348768743779999,81.344875,0.10119333333333334,251.98000000000002,-21.194280908326327,180.64768710148664,4,10,1.0414003889969436,2.8064768710148664,1.923938630005905
G3,128,RunTestFromClient/g3-128-1000-r1-artillery.json,1180,1180,1180,0,100.0,0,1180,0,3779.894,0.31217806636905693,354,453.5,415.8,518.1,608,804.5,6924,7,research-order-g3-inventory; research-order-g3-notification; research-order-g3-orchestrator-128; research-order-g3-payment; research-order-g3-persist; research-order-g3-pricing; research-order-g3-validate,8260,227.2614,220.93540000000002,33.5210565,0.0004469496547371,0.001652,0.0011799999999999998,0.0032789496547371002,0.002778770893845,76.4126,0.134225,209.52800000000002,-4.646761984861232,79.3279133221213,6,4,1.260072242289525,1.793279133221213,1.526675687755369
G3,512,RunTestFromClient/g3-512-1000-r1-artillery.json,1180,1180,1180,0,100.0,0,1180,0,3779.826,0.3121836825293016,322,359.9,354.3,376.2,383.8,450.4,1573,7,research-order-g3-inventory; research-order-g3-notification; research-order-g3-payment; research-order-g3-persist; research-order-g3-pricing; research-order-g3-validate; research-order-g3-orchestrator-512,8260,115.4103,110.9941,60.57466575,0.0008076662483110501,0.001652,0.0011799999999999998,0.0036396662483110503,0.0030844629222975,79.38968571428572,0.037733333333333334,130.21,-24.327165685449966,99.05574108331534,1,6,1.0,1.9905574108331534,1.4952787054165766
G3,1024,RunTestFromClient/g3-1024-1000-r1-artillery.json,1180,1179,1179,1,99.91525423728814,1,1179,1,3779.822,0.3121840128979618,319,363,354.3,368.8,376.2,432.7,7809,7,research-order-g3-inventory; research-order-g3-notification; research-order-g3-payment; research-order-g3-persist; research-order-g3-pricing; research-order-g3-validate; research-order-g3-orchestrator-1024,8260,125.59700000000001,120.43639999999999,130.66383375000004,0.0017421931609222505,0.001652,0.0011799999999999998,0.00457419316092225,0.0038764348821375004,78.20038571428572,0.07085,207.80375,-23.675357443229608,150.16563261209143,2,7,1.008613503751042,2.5016563261209144,1.755134914935978
G4,128,RunTestFromClient/g4-128-1000-r1-artillery.json,1180,1180,1180,0,100.0,0,1180,0,3780.067,0.312163779107619,506,621.4,572.6,757.6,871.5,1107.9,2645,13,research-order-g4-authorize-payment; research-order-g4-calculate-discount; research-order-g4-calculate-tax; research-order-g4-capture-payment; research-order-g4-check-inventory; research-order-g4-normalize-items; research-order-g4-orchestrator-128; research-order-g4-persist-order; research-order-g4-price-items; research-order-g4-reserve-inventory; research-order-g4-send-notification; research-order-g4-validate-customer; research-order-g4-validate-request,15340,399.22600000000006,390.02220000000005,58.88583500000001,0.0007851483923890001,0.0030680000000000004,0.0011799999999999998,0.005033148392389,0.00426537999355,75.24287692307692,0.06300384615384616,157.75666923076923,30.65601345668628,175.2661960953701,12,9,1.7265907196443457,2.7526619609537013,2.2396263402990235
G4,512,RunTestFromClient/g4-512-1000-r1-artillery.json,1180,1180,1180,0,100.0,0,1180,0,3779.936,0.31217459766514566,402,468.3,450.4,518.1,561.2,713.5,1663,13,research-order-g4-authorize-payment; research-order-g4-calculate-discount; research-order-g4-calculate-tax; research-order-g4-capture-payment; research-order-g4-check-inventory; research-order-g4-normalize-items; research-order-g4-persist-order; research-order-g4-price-items; research-order-g4-reserve-inventory; research-order-g4-send-notification; research-order-g4-validate-customer; research-order-g4-validate-request; research-order-g4-orchestrator-512,15340,230.0185,221.6699,119.19570875000001,0.0015892840630472502,0.0030680000000000004,0.0011799999999999998,0.0058372840630472505,0.0049468509008875,77.08479230769231,0.05414583333333334,129.64139166666666,-1.5349032800672857,219.24490483787764,7,11,1.3011947763267575,3.1924490483787764,2.246821912352767
G4,1024,RunTestFromClient/g4-1024-1000-r1-artillery.json,1180,1180,1180,0,100.0,0,1180,0,3779.946,0.3121737717946235,400,470.6,450.4,528.6,572.6,757.6,1875,13,research-order-g4-authorize-payment; research-order-g4-calculate-discount; research-order-g4-calculate-tax; research-order-g4-capture-payment; research-order-g4-check-inventory; research-order-g4-normalize-items; research-order-g4-persist-order; research-order-g4-price-items; research-order-g4-reserve-inventory; research-order-g4-send-notification; research-order-g4-validate-customer; research-order-g4-validate-request; research-order-g4-orchestrator-1024,15340,231.55949999999999,222.785,234.70472875,0.0031294120303152497,0.0030680000000000004,0.0011799999999999998,0.007377412030315249,0.006252044093487499,77.53475384615385,0.05653846153846154,157.4159,-1.0513036164844407,303.4755163753868,8,12,1.3075854404001113,4.034755163753869,2.67117030207699
